Film,Subs,Film-miller,Subs-miller,JARVISID-Film,JARVISID-Subs,PrevData W_adhesion (Jm-2),Ref
Rh,Cu,"""111""","""111""",984,867,2.86,
Rh,Al,"""111""","""111""",984,816,3.7,
Rh,Ag,"""111""","""111""",984,813,1.94,
Rh,Au,"""111""","""111""",984,825,2.04,
Rh,Mg,"""111""","""001""",984,919,2.68,
Rh,Zn,"""111""","""001""",984,1056,2.19,
Ni,W,"""111""","""110""",943,79561,4.51,
Ni,Cr,"""111""","""110""",943,861,3.27,
Ni,Mo,"""111""","""110""",943,21195,3.95,
Ni,V,"""111""","""110""",943,14837,4.67,
Ni,Fe,"""111""","""110""",943,25142,4.12,
Ni,Ir,"""111""","""111""",943,901,3.65,
Ni,Rh,"""111""","""111""",943,984,3.37,
Ni,Ni,"""111""","""111""",943,943,3.74,
Ni,Ti,"""111""","""001""",943,1029,4.39,
Ni,Pt,"""111""","""111""",943,972,3.29,
Ni,Cu,"""111""","""111""",943,867,2.75,
Ni,Al,"""111""","""111""",943,816,3.32,
Ni,Ag,"""111""","""111""",943,813,2.05,
Ni,Au,"""111""","""111""",943,825,2.17,
Ni,Mg,"""111""","""001""",943,919,2.39,
Ni,Zn,"""111""","""001""",943,1056,2.17,
Ti,W,"""001""","""110""",1029,79561,4.49,
Ti,Cr,"""001""","""110""",1029,861,4.1,
Ti,Mo,"""001""","""110""",1029,21195,4.06,
Ti,V,"""001""","""110""",1029,14837,3.87,
Ti,Fe,"""001""","""110""",1029,25142,4.26,
Ti,Ir,"""001""","""111""",1029,901,5.16,
Ti,Rh,"""001""","""111""",1029,984,4.87,
Ti,Ni,"""001""","""111""",1029,943,4.39,
Ti,Ti,"""001""","""001""",1029,1029,3.33,
Ti,Pt,"""001""","""111""",1029,972,5.27,
Ti,Cu,"""001""","""111""",1029,867,3.06,
Ti,Al,"""001""","""111""",1029,816,2.71,
Ti,Ag,"""001""","""111""",1029,813,2.55,
Ti,Au,"""001""","""111""",1029,825,3.47,
Ti,Mg,"""001""","""001""",1029,919,1.99,
Ti,Zn,"""001""","""001""",1029,1056,2.22,
Pt,W,"""111""","""110""",972,79561,4.7,
Pt,Cr,"""111""","""110""",972,861,5.22,
Pt,Mo,"""111""","""110""",972,21195,4.2,
Pt,V,"""111""","""110""",972,14837,5.54,
Pt,Fe,"""111""","""110""",972,25142,3.56,
Pt,Ir,"""111""","""111""",972,901,3.41,
Pt,Rh,"""111""","""111""",972,984,3.21,
Pt,Ni,"""111""","""111""",972,943,3.29,
Pt,Ti,"""111""","""001""",972,1029,5.27,
Pt,Pt,"""111""","""111""",972,972,2.99,
Pt,Cu,"""111""","""111""",972,867,3.05,
Pt,Al,"""111""","""111""",972,816,4.44,
Pt,Ag,"""111""","""111""",972,813,2.07,
Pt,Au,"""111""","""111""",972,825,1.94,
Pt,Mg,"""111""","""001""",972,919,3.18,
Pt,Zn,"""111""","""001""",972,1056,2.27,
Cu,W,"""111""","""110""",867,79561,3.44,
Cu,Cr,"""111""","""110""",867,861,3.19,
Cu,Mo,"""111""","""110""",867,21195,3.31,
Cu,V,"""111""","""110""",867,14837,3.35,
Cu,Fe,"""111""","""110""",867,25142,2.93,
Cu,Ir,"""111""","""111""",867,901,2.99,
Cu,Rh,"""111""","""111""",867,984,2.86,
Cu,Ni,"""111""","""111""",867,943,2.75,
Cu,Ti,"""111""","""001""",867,1029,3.06,
Cu,Pt,"""111""","""111""",867,972,3.05,
Cu,Cu,"""111""","""111""",867,867,2.54,
Cu,Al,"""111""","""111""",867,816,2.07,
Cu,Ag,"""111""","""111""",867,813,1.72,
Cu,Au,"""111""","""111""",867,825,1.8,
Cu,Mg,"""111""","""001""",867,919,1.86,
Cu,Zn,"""111""","""001""",867,1056,1.53,
Al,W,"""111""","""110""",816,79561,3.96,
Al,Cr,"""111""","""110""",816,861,3.85,
Al,Mo,"""111""","""110""",816,21195,3.9,
Al,V,"""111""","""110""",816,14837,3.3,
Al,Fe,"""111""","""110""",816,25142,3.45,
Al,Ir,"""111""","""111""",816,901,3.66,
Al,Rh,"""111""","""111""",816,984,3.7,
Al,Ni,"""111""","""111""",816,943,3.32,
Al,Ti,"""111""","""001""",816,1029,2.71,
Al,Pt,"""111""","""111""",816,972,4.44,
Al,Cu,"""111""","""111""",816,867,2.07,
Al,Al,"""111""","""111""",816,816,1.42,
Al,Ag,"""111""","""111""",816,813,1.4,
Al,Au,"""111""","""111""",816,825,1.79,
Al,Mg,"""111""","""001""",816,919,1.19,
Al,Zn,"""111""","""001""",816,1056,0.81,
Ag,W,"""111""","""110""",813,79561,2.15,
Ag,Cr,"""111""","""110""",813,861,2.12,
Ag,Mo,"""111""","""110""",813,21195,2.14,
Ag,V,"""111""","""110""",813,14837,2.23,
Ag,Fe,"""111""","""110""",813,25142,2.15,
Ag,Ir,"""111""","""111""",813,901,2.02,
Ag,Rh,"""111""","""111""",813,984,1.94,
Ag,Ni,"""111""","""111""",813,943,2.05,
Ag,Ti,"""111""","""001""",813,1029,2.55,
Ag,Pt,"""111""","""111""",813,972,2.07,
Ag,Cu,"""111""","""111""",813,867,1.72,
Ag,Al,"""111""","""111""",813,816,1.4,
Ag,Ag,"""111""","""111""",813,813,1.41,
Ag,Au,"""111""","""111""",813,825,1.56,
Ag,Mg,"""111""","""001""",813,919,1.41,
Ag,Zn,"""111""","""001""",813,1056,1.08,
Au,W,"""111""","""110""",825,79561,2.66,
Au,Cr,"""111""","""110""",825,861,2.54,
Au,Mo,"""111""","""110""",825,21195,2.51,
Au,V,"""111""","""110""",825,14837,2.86,
Au,Fe,"""111""","""110""",825,25142,2.61,
Au,Ir,"""111""","""111""",825,901,2.08,
Au,Rh,"""111""","""111""",825,984,2.04,
Au,Ni,"""111""","""111""",825,943,2.17,
Au,Ti,"""111""","""001""",825,1029,3.47,
Au,Pt,"""111""","""111""",825,972,1.94,
Au,Cu,"""111""","""111""",825,867,1.8,
Au,Al,"""111""","""111""",825,816,1.79,
Au,Ag,"""111""","""111""",825,813,1.56,
Au,Au,"""111""","""111""",825,825,1.33,
Au,Mg,"""111""","""001""",825,919,2,
Au,Zn,"""111""","""001""",825,1056,1.24,
Mg,W,"""001""","""110""",919,79561,2.39,
Mg,Cr,"""001""","""110""",919,861,2.23,
Mg,Mo,"""001""","""110""",919,21195,2.36,
Mg,V,"""001""","""110""",919,14837,2.07,
Mg,Fe,"""001""","""110""",919,25142,2.1,
Mg,Ir,"""001""","""111""",919,901,2.71,
Mg,Rh,"""001""","""111""",919,984,2.68,
Mg,Ni,"""001""","""111""",919,943,2.39,
Mg,Ti,"""001""","""001""",919,1029,1.99,
Mg,Pt,"""001""","""111""",919,972,3.18,
Mg,Cu,"""001""","""111""",919,867,1.86,
Mg,Al,"""001""","""111""",919,816,1.19,
Mg,Ag,"""001""","""111""",919,813,1.41,
Mg,Au,"""001""","""111""",919,825,2,
Mg,Mg,"""001""","""001""",919,919,1.21,
Mg,Zn,"""001""","""001""",919,1056,0.97,
Zn,W,"""001""","""110""",1056,79561,2.38,
Zn,Cr,"""001""","""110""",1056,861,2.32,
Zn,Mo,"""001""","""110""",1056,21195,2.33,
Zn,V,"""001""","""110""",1056,14837,2.63,
Zn,Fe,"""001""","""110""",1056,25142,2.49,
Zn,Ir,"""001""","""111""",1056,901,2.37,
Zn,Rh,"""001""","""111""",1056,984,2.19,
Zn,Ni,"""001""","""111""",1056,943,2.17,
Zn,Ti,"""001""","""001""",1056,1029,2.22,
Zn,Pt,"""001""","""111""",1056,972,2.27,
Zn,Cu,"""001""","""111""",1056,867,1.53,
Zn,Al,"""001""","""111""",1056,816,0.81,
Zn,Ag,"""001""","""111""",1056,813,1.08,
Zn,Au,"""001""","""111""",1056,825,1.24,
Zn,Mg,"""001""","""001""",1056,919,0.97,
Zn,Zn,"""001""","""001""",1056,1056,0.89,
